"Module","Gene"
"turquoise","LOC105388036"
"turquoise","LOC105381873"
"turquoise","LOC105395701"
"turquoise","LOC105381868"
"turquoise","LOC125488434"
"turquoise","LOC105381735"
"turquoise","LOC105393209"
"turquoise","LOC119691537"
"turquoise","LOC105398528"
"turquoise","LOC105398475"
"turquoise","LOC105398476"
"turquoise","LOC105398479"
"turquoise","LOC105398482"
"turquoise","LOC105389779"
"turquoise","LOC105390281"
"turquoise","LOC105392880"
"turquoise","LOC105384320"
"turquoise","LOC105384319"
"turquoise","LOC105384317"
"turquoise","LOC105391087"
"turquoise","LOC105396433"
"turquoise","LOC105384469"
"turquoise","LOC119691481"
"turquoise","LOC119691539"
"turquoise","LOC125489792"
"turquoise","LOC105394666"
"turquoise","LOC105394667"
"turquoise","LOC105393309"
"turquoise","LOC119691419"
"turquoise","LOC105380411"
"turquoise","LOC105396949"
"turquoise","LOC105385032"
"turquoise","LOC105385043"
"turquoise","LOC119692183"
"turquoise","LOC105390633"
"turquoise","LOC105385949"
"turquoise","LOC105380219"
"turquoise","LOC125489745"
"turquoise","LOC105388523"
"turquoise","LOC105394384"
"turquoise","LOC125489819"
"turquoise","LOC105383185"
"turquoise","LOC105387711"
"turquoise","LOC125488534"
"turquoise","LOC105380844"
"turquoise","LOC105385089"
"turquoise","LOC119692749"
"turquoise","LOC105380916"
"turquoise","LOC119692725"
"turquoise","LOC119692712"
"turquoise","LOC119692661"
"turquoise","LOC105383849"
"turquoise","LOC105397193"
"turquoise","LOC105398673"
"turquoise","LOC105390307"
"turquoise","LOC105380070"
"turquoise","LOC105380062"
"turquoise","LOC105380060"
"turquoise","LOC105384358"
"turquoise","LOC105388251"
"turquoise","LOC125489873"
"turquoise","LOC105387994"
"turquoise","LOC105386532"
"turquoise","LOC105381378"
"turquoise","LOC105386509"
"turquoise","LOC105386511"
"turquoise","LOC105386518"
"turquoise","LOC105381417"
"turquoise","LOC125489871"
"turquoise","LOC125489872"
"turquoise","LOC125489836"
"turquoise","LOC105394043"
"turquoise","LOC119692733"
"turquoise","LOC119692732"
"turquoise","LOC105380858"
"turquoise","LOC119692714"
"turquoise","LOC125490001"
"turquoise","LOC105384028"
"turquoise","LOC119690631"
"turquoise","LOC105394712"
"turquoise","LOC105392276"
"turquoise","LOC105380343"
"turquoise","LOC125489947"
"turquoise","LOC105391992"
"turquoise","LOC119690614"
"turquoise","LOC125489976"
"turquoise","LOC105382827"
"turquoise","LOC105391432"
"turquoise","LOC105390327"
"turquoise","LOC119690516"
"turquoise","LOC105398088"
"turquoise","LOC105393161"
"turquoise","LOC105398101"
"turquoise","LOC105398110"
"turquoise","LOC105382971"
"turquoise","LOC125489965"
"turquoise","LOC105383324"
"turquoise","LOC119690624"
"turquoise","LOC119691140"
"turquoise","LOC105391411"
"turquoise","LOC119690564"
"turquoise","LOC105390971"
"turquoise","LOC105388627"
"turquoise","LOC119690607"
"turquoise","LOC105380970"
"turquoise","LOC105389726"
"turquoise","LOC125490112"
"turquoise","LOC105392662"
"turquoise","LOC119691747"
"turquoise","LOC105391145"
"turquoise","LOC105388872"
"turquoise","LOC105383563"
"turquoise","LOC105380985"
"turquoise","LOC125490118"
"turquoise","LOC105384650"
"turquoise","LOC105384680"
"turquoise","LOC105384663"
"turquoise","LOC105380782"
"turquoise","LOC105395837"
"turquoise","LOC105392991"
"turquoise","LOC105381034"
"turquoise","LOC105381033"
"turquoise","LOC105394773"
"turquoise","LOC119693156"
"turquoise","LOC105387067"
"turquoise","LOC105382792"
"turquoise","LOC119693105"
"turquoise","LOC105382788"
"turquoise","LOC105382785"
"turquoise","LOC119693116"
"turquoise","LOC119693112"
